AccYear,AccNo,AccNoFull,ItemNo,TaxonName,Genus,Species,InfraType1,InfraName1,InfraType2,InfraName2,Family,ProvenanceCode,ContactCode,ContactNameFull,ItemLocationCode,ItemCoordLatDD,ItemCoordLongDD,ItemCoordX,ItemCoordY,ItemComment,AtrA_Garden_coll,PopNo,PopSpecNo,CollNo,CollDate,Collector,AccComment,CountryCode,CountryName,Subdiv1,Subdiv2,Locality,LocExtRef,Habitat,AltitudeFrom,AltitudeTo,AltitudeUnit,CoordLatDD,CoordLongDD,Datum,ItemType,ItemStatus,TaxonDistribution,OriginName,OriginRef,RecDate,Parent1TaxonName
2009,936,20090936,A,Coix lacryma-jobi,Coix,lacryma-jobi,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,52.192759,0.125097,52.192759,0.125097,Annual,,,,,2009-09-15,,,,,,,,,,,,,,,,Planting,Inspected,Tropical Asia,CUBG,,2009-12-01,
2010,2,20100002,A,Triticum durum,Triticum,durum,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,replanted with qual c,,,,,2009-09-15,,,,,,,,,,,,,,,,Planting,Planted,Mediterranean,CUBG,,2010-01-18,
2010,27,20100027,B,Triticum durum,Triticum,durum,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,,,,,,2009-07-23,,,,,,,,,,,,,,,,Planting,Planted,Mediterranean,CUBG,,2010-01-19,
2010,184,20100184,A,Agrostis nebulosa,Agrostis,nebulosa,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,52.192851,0.125054,52.192851,0.125054,Annual,,,,,2009-09-15,,,,,,,,,,,,,,,,Planting,Planted,"Morocco, Iberia",CUBG,,2010-02-15,
2011,210,20110210,A,Nassella tenuissima,Nassella,tenuissima,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,52.19272,0.125171,52.19272,0.125171,,,,,,2010-09-03,,,,,,,,,,,,,,,,Planting,Inspected,USA to Argentina,CUBG,,2011-03-25,
2011,253,20110253,A,Imperata cylindrica 'Rubra',Imperata,cylindrica,,,,,Poaceae,G,5947,"David Howard, Howards Nurseries Limited",SW8-34,52.192756,0.125045,52.192756,0.125045,,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,Garden origin,Howards Nurseries,,2011-04-04,
2011,397,20110397,B,Anemanthele lessoniana,Anemanthele,lessoniana,,,,,Poaceae,G,6653,"Sainsbury Laboratory Planting, University of Cambridge, Cambridge, United Kingdom",SW8-33,52.192707,0.125125,52.192707,0.125125,Seedling from D + D,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,New Zealand,Sainsbury Laboratory Development  Planting,,2011,
2014,619,20140619,B,Hordeum vulgare 'Optic',Hordeum,vulgare,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,,,,,,,,,,2013,,,,,,,,,,,,,,,,Planting,Planted,Garden origin,CUBG,,2013,
2014,632,20140632,A,Hordeum spontaneum,Hordeum,spontaneum,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,52.192813,0.125054,52.192813,0.125054,Annual,,,,,2013,,,,,,,,,,,,,,,,Planting,Inspected,E. Medit. to C. Asia and China,CUBG,,2014-06-17,
2015,995,20150995,A,Briza media,Briza,media,,,,,Poaceae,G,53,"Cambridge University Botanic Garden, Cambridge, United Kingdom",SW8-33,52.192729,0.125093,52.192729,0.125093,,,,,,2015-09-10,,,,,,,,,,,,,,,,Planting,Inspected,Eurasia,CUBG,,2007-02-16,
