"","Site","GenusSpecies"
"4849","CedarCreek","Acer saccharum"
"4896","CedarCreek","Hieracium aurantiacum"
"49011","CedarCreek","Lactuca biennis"
"5049","CedarCreek","Sedge"
"51271","CedarCreek","Rhus sp."
"5150","CedarCreek","Lonicera dioica"
"51821","CedarCreek","Lathyrus ochroleucus"
"5234","CedarCreek","Lonicera tatarica"
"5378","CedarCreek","Agastache foeniculum"
"5403","CedarCreek","Rhus vernix"
"54814","CedarCreek","Lepidium densiflorum"
"5707","CedarCreek","Setaria viridis"
"5727","CedarCreek","Solanum sp."
"5790","CedarCreek","Acer sp."
"579110","CedarCreek","Pteridium aquilinum"
"5797","CedarCreek","Geranium maculatum"
"58321","CedarCreek","Athyrium angustum"
"58611","CedarCreek","Pinus strobus"
"5867","CedarCreek","Dryopteris spinulosa"
"58721","CedarCreek","Eupatorium rugosum"
"59621","CedarCreek","Euphorbia sp."
"5968","CedarCreek","Aster lanceolatus (var. simplex)"
"5970","CedarCreek","Hedeoma hispida"
"5978","CedarCreek","Hieracium longipilum"
"5993","CedarCreek","Onoclea sensibilis"
"5997","CedarCreek","Aristida basiramea"
"60021","CedarCreek","Lobelia spicata"
"6019","CedarCreek","Petalostemum purpureum"
"6039","CedarCreek","Digitaria sp."
"61131","CedarCreek","Lepidium sp."
"6128","CedarCreek","Tragopogon dubius"
"6163","CedarCreek","Silene antirrhina"
"6174","CedarCreek","Verbascum thapsis"
"6305","CedarCreek","Penstemon gracilis"
"6346","CedarCreek","Lycopus uniflorus"
"6457","CedarCreek","Scirpus sp."
"6467","CedarCreek","Polygala sanquinea"
"6492","CedarCreek","Oenothera sp."
"6553","CedarCreek","Carex muhlenbergii"
"6683","CedarCreek","Rubus canadensis"
"6702","CedarCreek","Polygonum sp."
"6735","CedarCreek","Potentilla recta"
"6823","CedarCreek","Aster simplex"
"6852","CedarCreek","Potentilla sp."
"6877","CedarCreek","Penstemon sp."
"70111","CedarCreek","Trifolium pratense"
"7045","CedarCreek","Polygonum persicaria"
"7079","CedarCreek","Fraxinus sp."
"7090","CedarCreek","Gnaphalium obtusifolium"
"7131","CedarCreek","Aristida tuberculosa"
"72121","CedarCreek","Polygonella articulata"
"73101","CedarCreek","Erigeron sp."
"7336","CedarCreek","Gnaphalium uliginosum"
"7344","CedarCreek","Polygonatum sp."
"7407","CedarCreek","Viburnum lentago"
"75151","CedarCreek","Helianthus sp."
"7529","CedarCreek","Anemone sp."
"7690","CedarCreek","Diervilla lonicera"
"7849","CedarCreek","Amelanchier alnifolia"
"7888","CedarCreek","Heuchera richardsonii"
"8371","CedarCreek","Chenopodium hybridum"
"8493","CedarCreek","Lithospermum sp."
"88121","CedarCreek","Spiraea alba"
"8863","CedarCreek","Euthamia gramnifolia"
"8926","CedarCreek","Linaria vulgaris"
"9156","CedarCreek","Panicum sp."
"9433","CedarCreek","Potentilla palustris"
"9620","CedarCreek","Alnus sp."
"9719","CedarCreek","Schizachne purpurascens"
"9786","CedarCreek","Circium arvense"
"9972","CedarCreek","Viola canadensis"
