TaxonName,Family,AccNoFull,ItemNo,ItemLocationCode,ItemStatus,ItemStatusDate,Lifeform,Longevity,Group
Crinum moorei,Amaryllidaceae,19590352,C,NW15-10.7,Inspected,2/20/2020,Herbaceous,Perennial,Monocot
Dianella revoluta,Asphodelaceae,19920383,C,NW16-2,Inspected,1/6/2020,Herbaceous,Perennial,Monocot
Dianella revoluta,Asphodelaceae,19920383,D,NW16-3,Inspected,8/5/2019,Herbaceous,Perennial,Monocot
Diospyros virginiana,Ebenaceae,19820389,A,SE5,Seen,4/6/2020,Tree,Perennial,Dicot
Dodecatheon meadia,Primulaceae,20090378,A,NW28-5,Repotted,9/11/2019,Herbaceous,Perennial,Dicot
Dodecatheon meadia,Primulaceae,20090378,B,NW11-6,Planted,4/16/2021,Herbaceous,Perennial,Dicot
Echinacea angustifolia,Asteraceae,19911108,A,NW11-8,Inspected,4/27/2018,Herbaceous,Perennial,Dicot
Echinacea angustifolia,Asteraceae,19911108,B,NW28-4,Inspected,6/4/2014,Herbaceous,Perennial,Dicot
Echinacea pallida,Asteraceae,20160159,A,NW17-11,Inspected,1/15/2018,Herbaceous,Perennial,Dicot
Echinacea pallida,Asteraceae,20160159,B,NW17-12,Inspected,6/26/2018,Herbaceous,Perennial,Dicot
Echinacea pallida,Asteraceae,20184661,C,SE7-8,Planted,3/12/2019,Herbaceous,Perennial,Dicot
Echinacea pallida,Asteraceae,20184661,B,SE7-7,Planted,3/12/2019,Herbaceous,Perennial,Dicot
Echinacea pallida,Asteraceae,20184661,D,SE7-6,Planted,6/6/2019,Herbaceous,Perennial,Dicot
Epilobium angustifolium,Onagraceae,20192025,B,NW26-11,Moved,11/15/2019,Herbaceous,Perennial,Dicot
Eragrostis curvula,Poaceae,10006273,A,SW8-34,Inspected,9/18/2019,Herbaceous,Perennial,Dicot
Erigeron formosissimus,Asteraceae,10006150,A,SW2,Inspected,10/30/2019,Herbaceous,Perennial,Dicot
Erigeron formosissimus,Asteraceae,19570042,A,NW11-6,Inspected,5/17/2017,Herbaceous,Perennial,Dicot
Erigeron formosissimus,Asteraceae,19570042,B,NW28-4,Inspected,3/12/2015,Herbaceous,Perennial,Dicot
Erigeron formosissimus,Asteraceae,19570042,C,NW28-8,Repotted,7/5/2019,Herbaceous,Perennial,Dicot
Erigeron formosissimus,Asteraceae,19570042,E,NW28-12,Inspected,4/27/2018,Herbaceous,Perennial,Dicot
Erigeron speciosus,Asteraceae,20160908,A,NW11-8,Planted,4/27/2018,Herbaceous,Perennial,Dicot
Eriospermum abyssinicum,Asparagaceae,20172444,ZZ,NW28-11,Repotted,8/24/2021,Herbaceous,Perennial,Dicot
Euthamia graminifolia,Asteraceae,19571842,A,SW9-20,Inspected,3/2/2017,Herbaceous,Perennial,Dicot
Fraxinus americana,Oleaceae,20050056,A,NE18,Seen,4/2/2020,Tree,Perennial,Dicot
Fraxinus pennsylvanica,Oleaceae,10005646,A,SW4,Seen,4/9/2020,Tree,Perennial,Dicot
Galium aparine,Rubiaceae,20160583,A,SW9-17,Inspected,3/11/2020,Herbaceous,Annual,Dicot
Geranium maculatum,Geraniaceae,19690043,C,NE11-4,Moved,2/8/2018,Herbaceous,Perennial,Dicot
Geum triflorum,Rosaceae,19892682,A,SW9-6,Inspected,9/17/2013,Herbaceous,Perennial,Dicot
Geum triflorum,Rosaceae,20140724,A,NW28,Inspected,3/30/2015,Herbaceous,Perennial,Dicot
Geum triflorum,Rosaceae,20160910,A,NW11-6,Planted,4/5/2019,Herbaceous,Perennial,Dicot
Gleditsia triacanthos,Fabaceae,10005906,A,SW12,Seen,4/17/2020,Tree,Perennial,Dicot
Gleditsia triacanthos,Fabaceae,10005912,A,SW16,Seen,4/21/2020,Tree,Perennial,Dicot
Gleditsia triacanthos,Fabaceae,19873202,A,SW15,Seen,4/17/2020,Tree,Perennial,Dicot
Gymnocladus dioica,Fabaceae,10006562,A,SW13,Seen,4/17/2020,Tree,Perennial,Dicot
Gymnocladus dioica,Fabaceae,10006776,A,SW15,Seen,4/17/2020,Tree,Perennial,Dicot
